model,trigger_code,rows,post_repair_accuracy,post_repair_sat_rate
qwen3-8b,answer_ledger_conflict,4131,0.03994190268700073,1.0
qwen3-8b,incomplete_assignment,139,0.6546762589928058,1.0
qwen3-8b,unsat_ledger,1,0.0,1.0
qwen3-32b,answer_ledger_conflict,3643,0.05544880592917925,0.9961570134504529
qwen3-32b,incomplete_assignment,275,0.6981818181818182,1.0
qwen3-32b,unsat_ledger,87,0.06896551724137931,0.1724137931034483
qwen3-32b,constraint_extraction_failed,2,0.0,1.0
gpt-oss-20b,answer_ledger_conflict,2402,0.33263946711074105,0.9995836802664446
gpt-oss-20b,incomplete_assignment,735,0.3333333333333333,0.998639455782313
gpt-oss-20b,answer_parse_failed,449,0.23385300668151449,1.0
gpt-oss-20b,constraint_extraction_failed,429,0.2261072261072261,1.0
gpt-oss-120b,answer_ledger_conflict,2471,0.2120598947794415,0.9991906110886281
gpt-oss-120b,answer_parse_failed,416,0.18509615384615385,0.9975961538461539
gpt-oss-120b,constraint_extraction_failed,32,0.125,0.96875
gpt-oss-120b,incomplete_assignment,30,0.26666666666666666,1.0
